Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
MAX_030520_animalC_40x_03-6.tif,161.2860783,132.4867702,101.2019124,1.744860558,5.280232733,162.1889152,161.2991827,24.61315065,65.47299787,203.3057509,0.793382292,28.47689679,132.8222859,0.823452938,229.1907888,0.703776899,1,Hom28F2,HOM,F
MAX_062520_slideP40x_02-2.tif,95.28513598,66.21402746,57.51565699,3.195314277,4.275129978,70.81164272,53.85866105,14.15669198,39.8023851,79.82757783,0.674687401,30.54031847,23.31834258,0.432954368,103.7246857,0.519246317,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-3.tif,149.9602566,149.1954531,92.7760518,2.811395509,4.954297157,156.5366529,206.828666,28.63857851,81.05396111,248.7429674,0.831495532,12.50634849,194.3223175,0.939532809,316.659729,0.653157465,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-4.tif,176.8156255,77.39508885,77.75603947,1.095155485,5.075641237,178.2143255,146.8552309,23.47447592,63.04351894,218.7226983,0.671421997,20.70131996,126.153911,0.859035869,274.7118835,0.534579098,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-5.tif,171.7550872,92.96301829,79.4045774,1.470455137,4.85754858,119.6973542,124.0988772,25.46338803,67.78755227,168.797959,0.735191811,11.60045604,112.4984211,0.906522474,225.6175537,0.550040877,1,Hom28F1,HOM,F
MAX_062520_slideP40x_02-6.tif,116.3841022,115.0399527,76.38225785,2.246536996,4.791048366,113.943185,100.8476377,23.79283295,59.6981856,143.4329706,0.703099415,33.32509895,67.52253877,0.669550029,168.8482819,0.597267775,2,Hom28F1,HOM,F
MAX_062520_slideP40x_02-7.tif,121.1243228,80.43150612,77.29811226,1.680393745,5.01927405,72.33065929,108.9419545,121.4461627,52.74150483,131.6563688,0.827471967,8.60597823,100.3359763,0.921004004,168.7476349,0.645591001,1,Hom28F1,HOM,F
MAX_062520_slideP40x_03-1.tif,146.8393803,121.1715025,102.1177668,1.571042566,5.430540699,131.651719,103.1626962,22.60231457,63.31873783,158.9002453,0.649229307,48.85947681,54.30321938,0.526384259,180.9268494,0.570190088,2,Hom28F1,HOM,F
MAX_062520_slideP40x_03-2.tif,373.427378,176.3973901,190.3145465,1.312514114,6.306299309,279.842196,179.6686684,33.46417219,94.02924588,309.8571559,0.579843534,79.18171006,100.4869583,0.559290383,381.5065308,0.470945197,1,Hom28F1,HOM,F
MAX_062520_slideP40x_03-3.tif,305.6337795,234.4332219,190.9556446,1.216277991,6.293206042,260.8844723,268.8571348,30.9103238,96.64189569,369.11762,0.728377949,54.98263871,213.8744961,0.795494962,520.4351807,0.516600616,2,Hom28F1,HOM,F
MAX_062520_slideP40x_03-4.tif,178.0305004,115.2328742,85.90714372,1.753207015,4.87072394,190.2705973,229.0314188,27.68062953,77.06864641,299.1709802,0.765553593,25.34821269,203.6832061,0.8893243,358.33078,0.639162002,2,Hom28F1,HOM,F
MAX_062520_slideP40x_04-1.tif,230.739653,148.1889059,118.9694879,1.505942885,5.578583207,164.9587008,216.4747429,24.48690532,71.83032923,306.1748708,0.707029752,14.1755392,202.2992037,0.934516429,352.1908569,0.614651796,2,Hom28F1,HOM,F
MAX_062520_slideP40x_04-2.tif,233.9316633,160.6281512,126.3879087,1.12846347,5.807596596,153.1744893,231.681993,29.74497173,82.94471149,295.8493745,0.783107936,11.75982601,219.922167,0.949241519,367.7168274,0.630055455,2,Hom28F1,HOM,F
MAX_062520_slideP40x_04-3.tif,143.3699176,108.7070935,84.44177666,1.919131288,5.021489444,120.8408242,145.9996658,21.95683354,60.10897207,187.0835658,0.780398135,14.49427913,131.5053867,0.900723888,218.3200836,0.668741342,1,Hom28F1,HOM,F
MAX_062520_slideP40x_04-4.tif,222.4963091,155.0502024,103.5831338,1.501204838,5.164619028,209.9517997,245.6310591,25.37974524,74.22456825,329.1576977,0.746241272,16.54931292,229.0817461,0.932625324,381.7833252,0.643378175,1,Hom28F1,HOM,F
MAX_062520_slideP40x_04-5.tif,110.5772086,79.65143207,63.5602961,2.050332132,4.610937357,88.6404933,101.6025481,26.65073389,60.14579127,126.9255971,0.80048903,7.25552746,94.34702063,0.928589119,140.4384918,0.723466528,1,Hom28F1,HOM,F
MAX_062520_slideP40x_04-6.tif,122.667141,73.84701011,65.66676124,2.345241473,4.5567597,82.76219477,119.2674508,17.82413633,50.00472569,142.2335019,0.838532759,3.75777607,115.5096747,0.968492862,160.3681335,0.743710413,1,Hom28F1,HOM,F
MAX_062520_slideP40x_04-7.tif,167.8818094,140.7152932,91.58544107,3.392053373,4.685446277,137.4985904,175.9696076,22.3382129,71.23255912,245.2536039,0.717500599,8.54726298,167.4223446,0.951427618,300.5298157,0.58553128,1,Hom28F1,HOM,F
MAX_072020_slideS_40x_01-1.tif,210.5120965,116.0548878,103.0336212,1.609900331,5.327014809,155.5855586,250.8567164,25.84495062,74.00997022,296.9649643,0.844735058,8.91633028,241.9403861,0.964456482,326.3980713,0.768560658,2,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_01-2.tif,134.9402443,75.66718289,72.99359653,1.520699928,4.978455766,94.61372747,151.7202089,28.07194615,66.5237657,182.4953883,0.831364618,2.02148222,149.6987266,0.986676249,215.451416,0.704196852,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_01-3.tif,208.1845245,113.4881925,90.21165945,1.346442678,5.147573598,157.4448818,208.1371773,27.3326925,74.38012473,271.3231754,0.767119053,7.88461943,200.2525579,0.962118159,313.1368103,0.664684478,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_01-4.tif,109.2972459,116.0129483,65.94151757,1.648537939,4.631804954,89.96555489,124.3001866,21.28745922,55.57795748,146.7042488,0.847284162,14.10843605,110.1917505,0.886497065,175.5921478,0.707891487,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_01-5.tif,202.6541581,127.0514155,106.3306971,1.865450826,5.242528773,113.4895331,193.7267771,31.42274995,80.61109332,235.1210291,0.823944918,6.30769555,187.4190815,0.967440249,295.8493652,0.654815592,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_01-7.tif,258.856575,141.8224951,124.0982726,1.570864211,5.634450512,180.4177681,231.0780647,26.38058179,74.56868766,302.5261374,0.76382843,10.60229677,220.4757679,0.954118117,339.7348328,0.680171835,2,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_02-1.tif,251.5557748,129.676826,110.0857002,0.748882314,5.642978009,177.5828948,208.397202,23.29945141,70.94208922,299.6826417,0.695392969,12.9676826,195.4295194,0.9377742,326.5238953,0.63822956,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_02-2.tif,215.3993229,126.2377899,115.5808266,1.284231407,5.671112213,152.3122844,178.9556975,74.46549707,62.86797356,222.665008,0.803699239,12.13728119,166.8184163,0.932177174,235.355896,0.760362075,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_02-3.tif,198.7691711,142.4096476,114.5733868,1.38040225,5.522229888,187.9185695,184.6007495,21.37416621,64.72348403,258.5316385,0.714035429,20.96134464,163.6394048,0.886450382,280.1975708,0.658823519,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_02-4.tif,132.2202954,93.97795334,72.44408388,1.478450692,4.789748726,99.30950334,123.6878704,40.2711505,62.79749375,150.9401348,0.819449847,9.78867115,113.8991993,0.920859894,177.1019745,0.698399161,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_02-5.tif,167.5729299,113.0184705,96.25629856,2.139028857,5.251117037,168.074185,147.2242982,29.47998635,73.01982324,199.5815264,0.737664958,15.44211104,131.7821872,0.895111668,250.5547485,0.587593327,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-1.tif,162.1559087,84.68416788,71.89457124,1.261308267,4.859069534,118.7224583,161.114649,158.3021431,72.13000393,192.9383151,0.835057821,6.70192652,154.4127225,0.958402749,221.0629273,0.728818038,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-2.tif,214.7034586,175.1140425,126.8458359,1.626228665,5.579249416,150.6637464,209.646998,192.12995,69.51419553,274.3595926,0.764132196,20.44968317,189.1973149,0.90245659,290.3385315,0.722077765,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-3.tif,208.5692759,124.895727,103.8578902,1.888325276,5.237383972,174.5188265,174.4178474,134.1757969,78.87432012,233.4770021,0.747045087,9.68801643,164.7298309,0.944455131,256.1914063,0.680810687,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-4.tif,212.7752348,181.9166237,115.1228994,1.77112153,5.289716056,216.022474,170.8446049,134.1779536,92.17912746,271.2560722,0.629827762,47.38320764,123.4613973,0.722653182,304.2540283,0.561519615,2,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-5.tif,255.8515483,136.7058804,114.2986305,1.029717391,5.633307407,245.2085734,169.5444815,134.175203,78.81304511,270.8282897,0.626022052,30.75001579,138.7944657,0.818631574,295.2454529,0.574249255,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-6.tif,113.1959046,73.48633071,55.13443552,1.413703475,4.557796821,128.7806806,91.260276,134.0822118,63.28033933,134.3153309,0.679447949,15.65180837,75.60846763,0.828492647,136.1103363,0.670487477,1,Hom233.1F1,HOM,F
MAX_072020_slideS_40x_03-7.tif,219.6008149,175.9276681,114.8481431,1.573262234,5.352876102,245.0184312,230.5999548,106.0023442,85.5665661,337.2687903,0.683727524,42.84535752,187.7545973,0.814200495,352.5179749,0.654150912,2,Hom233.1F1,HOM,F
MAX_072220_slideY_40x_01-1.tif,248.8367511,219.527936,138.0192597,2.339309486,5.403272715,222.42425,277.6560346,33.65014124,88.53030666,370.4345192,0.749541471,17.02742282,260.6286118,0.9386744,419.5036926,0.661867916,3,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_01-2.tif,154.5541255,136.8316988,74.09262182,2.469754061,4.456812081,165.6116997,123.3691305,30.34851879,76.73149834,192.3931021,0.641234686,42.11561083,81.25351964,0.658621159,244.3896484,0.504805057,2,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_01-3.tif,53.07484015,58.98366368,24.086971,1.720497929,2.820166297,57.71157446,60.44315707,18.23102468,43.33628137,77.96546558,0.775255514,6.70192652,53.74123055,0.889120178,98.99391174,0.610574489,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_01-4.tif,221.004907,175.3237398,110.6352128,1.558242434,5.234404358,169.4084514,215.2249469,26.63515,77.57148089,285.6832482,0.753369154,25.19723062,190.0277163,0.882926069,359.7651062,0.598237414,2,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_01-5.tif,207.9124642,167.9172303,93.96666253,2.472806909,4.748103457,220.9757133,262.2306993,87.22978396,85.89069661,356.9132357,0.734718338,7.68331,254.5473893,0.970700189,420.9380188,0.622967486,5,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_01-6.tif,111.7336962,87.23408736,56.78297346,2.468824933,4.119406499,81.55047841,114.7463765,16.20311857,47.64414729,140.3965533,0.817301948,4.21072229,110.5356542,0.963304094,156.8200531,0.731707293,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-1.tif,71.548139,52.34884031,39.10698334,4.345220371,3.584719464,62.86481497,71.83391578,20.36123769,49.62220779,87.39345732,0.821959881,2.70090155,69.13301423,0.962400747,98.99391174,0.725639734,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-2.tif,138.0204887,95.11870679,71.16188771,2.295544765,4.443979699,124.3064741,139.4319456,17.88919457,56.26238355,176.6238632,0.789428694,6.18187715,133.2500684,0.955663839,202.6431122,0.688066543,2,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-3.tif,137.2325763,91.76354959,77.3896977,2.091613451,4.937466661,107.9759971,128.3515389,99.15049325,67.0770911,158.3214807,0.810701987,8.72340874,119.6281302,0.932035028,183.8458405,0.698147636,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-4.tif,156.5734721,103.2130236,70.61237506,1.217454742,4.791860604,186.2830491,200.7055041,21.66571644,70.45766435,271.7928974,0.738450144,7.85106786,192.8544362,0.960882648,311.8283081,0.643641064,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-5.tif,143.4273799,99.82431477,72.81042565,2.022511824,4.691728905,116.5075774,139.0209388,25.51571046,64.93269002,170.2742282,0.816453202,8.68985716,130.3310817,0.937492458,198.2897949,0.701099816,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-6.tif,167.6510352,114.4611881,85.90714372,3.436285749,4.713625771,144.9740108,159.5041736,33.09784307,78.61369808,214.4029334,0.743945855,22.78151743,136.7226562,0.857172907,249.72435,0.638720948,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-7.tif,135.245311,95.02643997,73.17676741,2.613455979,4.717730676,99.27965548,144.8253608,20.72746681,58.26043294,173.3022576,0.835680751,7.25552746,137.5698333,0.949901541,200.1519013,0.723577243,2,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_02-8.tif,140.329651,79.95339622,70.97871683,2.839148673,4.522300986,102.7506974,120.6682289,27.09226765,65.1066561,143.8859168,0.838638219,8.22852305,112.4397059,0.931808703,150.629776,0.801091471,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_03-1.tif,219.8544656,142.8206544,115.3060703,2.353185108,5.329540051,232.7046959,235.0707018,22.85602715,72.44335035,316.4081003,0.742935157,17.01903493,218.0516668,0.927600357,337.7972412,0.6958929,1,Hom233.1F2,HOM,F
MAX_072220_slideY_40x_03-2.tif,82.79966814,116.5162219,43.86942627,2.924628418,3.645622487,98.15682854,126.7494514,21.65487351,57.47094132,161.2824069,0.785885167,16.61641606,110.1330353,0.868903448,194.1881104,0.652714789,1,Hom233.1F2,HOM,F
