Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
MAX_031220_animalG_40x_01-1.tif,169.8690747,216.785095,88.92946328,3.17605226,4.55093191,180.1879191,222.7908264,111.1340175,83.3332756,325.0895696,0.685321361,27.78070167,195.0101247,0.8753059,396.403436,0.562030513,2,WT23bF1,WT,F
MAX_031220_animalG_40x_02-3.tif,84.12026281,128.1418416,57.51565699,4.108261214,4.006284666,76.57120398,104.0350371,23.37492997,56.78204833,130.0878328,0.79972919,31.7062356,72.32880147,0.695235024,143.1561701,0.726724088,1,WT23bF1,WT,F
MAX_031220_animalG_40x_03-1.tif,193.7286217,183.6445297,130.0513263,4.064103947,5.301951242,168.3614964,224.0322345,74.63876315,73.58077414,277.2953552,0.807919175,10.02353215,214.0087024,0.955258527,304.8076443,0.734995459,3,WT23bF1,WT,F
MAX_031220_animalG_40x_03-2.tif,63.018138,89.29750904,31.59697717,1.858645716,3.353343748,50.2736274,78.49390284,17.35054697,48.68952307,92.15778056,0.851733867,16.22218509,62.27171775,0.793331909,128.7625457,0.60960198,1,WT23bF1,WT,F
MAX_031220_animalG_40x_03-3.tif,115.9894919,139.5829277,67.40688462,2.808620193,4.388467288,120.1786205,110.4266115,19.40098738,59.38549334,170.3077798,0.648394405,45.73918061,64.68743093,0.58579567,209.5882828,0.526873974,2,WT23bF1,WT,F
MAX_031220_animalG_40x_03-4.tif,129.0267058,137.1001113,97.99642194,3.062388186,5.086533029,105.4782718,158.925409,30.19626298,76.28007991,197.1490374,0.806118108,13.29481043,145.6305985,0.916345596,265.4768139,0.59864139,2,WT23bF1,WT,F
MAX_031220_animalG_40x_03-5.tif,209.3486376,188.1404403,153.9551264,4.811097701,5.394974669,204.5969787,144.9344034,21.41337338,62.54003029,228.7126788,0.63369641,68.38649175,76.54791166,0.528155565,245.9749627,0.589224211,1,WT23bF1,WT,F
MAX_031220_animalG_40x_03-6.tif,151.2186511,122.3625833,80.86994446,5.054371529,4.49356361,141.1956687,135.6825574,22.22490144,61.31529638,178.7795517,0.758937787,20.27353742,115.40902,0.850581108,196.402515,0.690839205,2,WT23bF1,WT,F
MAX_031220_animalG_40x_03-7.tif,322.3369155,273.7472764,171.3563602,2.677443129,5.709954705,253.6236499,329.4596619,37.38885195,105.2217335,451.5118931,0.729681027,17.92492737,311.5347345,0.945592953,570.2844582,0.5777111,6,WT23bF1,WT,F
MAX_031220_animalG_40x_03-8.tif,293.2082783,222.6733959,171.2647748,2.676012106,5.763467857,263.420596,276.3642991,26.84078507,81.49617474,414.7393701,0.666356558,30.27190589,246.0923932,0.890463761,444.2647536,0.622071179,5,WT23bF1,WT,F
