Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
p30nmj03-1.tif,843.466916,356.3093074,440.5259715,0.781074418,7.634099302,431.7782796,393.895456,45.98464775,169.4280571,700.3806789,0.562401945,96.62852753,297.2669285,0.754684838,897.9491,0.438661229,6,971,WT,M
p30nmj03-2.tif,353.6741164,218.6472072,197.0002837,1.223604247,6.392495555,282.3430799,287.973143,38.56312638,125.9492368,515.9225236,0.558171295,21.47300612,266.5001369,0.925433997,653.4337,0.440707516,11,971,WT,M
p30nmj27-2.tif,270.9864852,171.9601947,138.3856015,1.820863177,5.65658325,274.04832,282.2945394,173.2433457,103.7985777,438.0912643,0.644373815,77.71382879,204.5807106,0.724706582,466.0984,0.605654384,7,971,WT,M
p30nmj27-3.tif,398.6367134,274.4686352,191.871499,2.628376699,5.781012081,400.7404825,268.5216191,49.79393549,130.1129845,694.4420506,0.386672464,209.3282581,59.193361,0.220441696,713.9858,0.376088179,11,971,WT,M
p30nmj30-1.tif,388.3470626,253.3730843,207.3494386,2.032837633,6.163396174,345.0583846,299.0116102,152.6615023,112.759354,641.0027842,0.466474745,46.1166358,252.8949744,0.845769749,673.573,0.44391864,6,971,WT,M
p30nmj30-2.tif,524.5939589,361.4426979,295.271462,1.312317609,6.833043109,342.626018,380.0805962,48.37931032,130.6678892,655.1531597,0.580140064,94.01150491,286.0690913,0.752653764,751.6475,0.505663354,6,971,WT,M
p30nmj33-1.tif,342.0565165,291.5883249,164.5790376,2.992346138,5.353285246,325.7044712,298.1812088,42.93950953,143.0974741,528.6050178,0.564090765,111.1815219,186.9996869,0.627134378,688.277,0.433228495,3,971,WT,M
p30nmj33-2.tif,417.3652422,259.6556162,225.3917705,1.994617438,6.284538294,310.1342921,285.700024,32.38267452,136.7439555,449.0039131,0.636297403,138.2576406,147.4423834,0.516074102,599.5414,0.476530935,3,971,WT,M
p30nmj37-1.tif,577.9085071,345.7489501,357.4579765,1.26310239,7.190156786,398.5087713,372.0869342,65.78646684,142.9403383,558.6840022,0.666006066,69.19172948,302.8952047,0.814044184,712.7109,0.522072743,6,971,WT,M
p30nmj37-2.tif,323.5041872,233.6866994,153.039272,1.987523013,5.571530091,292.604462,303.4488056,41.14062459,114.7466193,550.0109208,0.551714146,17.84943634,285.5993693,0.941178097,590.4741,0.513907055,8,971,WT,M
p30nmj44-1.tif,586.8162881,385.7591998,356.4505366,1.29618377,7.156991687,506.6181025,487.4875663,48.11679779,132.0021556,892.37955,0.546278281,42.29175658,445.1958097,0.913245466,939.0498,0.519128556,2,971,WT,M
p30nmj44-3.tif,748.0455583,716.368003,670.1306723,2.024563965,7.865027529,503.5556135,547.5029408,46.47137694,201.4321996,856.8064957,0.63900419,220.5596468,326.943294,0.597153494,1290.62,0.424216997,4,971,WT,M
p30nmj52-1.tif,304.9823599,238.7194352,210.6465145,1.897716346,6.267821723,221.4141141,243.3831037,108.8040051,94.9971705,352.5263676,0.690396878,40.55546273,202.827641,0.833367797,374.0746,0.650627184,1,971,WT,M
p30nmj52-2.tif,406.5381713,340.2884317,248.4713016,1.335867213,6.615737894,263.1209213,378.6127149,38.29322991,113.4729738,600.7576735,0.63022535,48.85947681,329.7532381,0.870951305,658.7097,0.574779322,1,971,WT,M
p30nmj52-3.tif,383.4763956,287.1008021,225.300185,1.29482865,6.521911457,327.4679337,310.4526963,35.87180881,102.1278174,503.7433029,0.616291461,47.99552383,262.4571725,0.845401491,541.9669,0.572825935,4,971,WT,M
p30nmj52-4.tif,474.4841677,347.5104076,292.0659716,1.196991687,6.883227592,289.8108748,406.5360108,42.166319,123.4185051,651.8231662,0.623690645,39.09596934,367.4400414,0.903831473,768.2807,0.529150362,3,971,WT,M
p30nmj05-1.tif,376.8549004,322.0615402,201.0300431,1.896509841,5.943042197,353.3448648,371.6088243,114.9785819,108.180082,664.3546784,0.559353063,37.44355442,334.1652698,0.899239329,681.9105,0.544952489,1,972,WT,M
p30nmj05-2.tif,258.8543415,174.9798362,121.6254657,1.66610227,5.324924333,286.5160324,233.2924684,147.4815972,96.73841061,390.7751598,0.596999227,29.35762555,203.9348429,0.874159566,417.239,0.559133898,4,972,WT,M
p30nmj08-2.tif,557.596528,275.0306241,270.360222,0.844875694,6.914450502,393.213646,356.2002648,30.92958452,100.609455,586.2633944,0.607577188,68.16001864,288.0402461,0.808646918,601.219,0.59246342,3,972,WT,M
p30nmj10-2.tif,394.3250347,236.9160382,187.1090561,1.799125539,5.974332282,357.796849,423.4208394,136.1962965,130.6418541,653.9620789,0.647470019,7.82590418,415.5949352,0.981517433,793.2011,0.533812723,2,972,WT,M
p30nmj13-2.tif,416.378908,332.4876912,218.1565206,1.547209366,6.259427798,435.7950215,371.860461,145.5783644,134.6233561,654.9602382,0.567760361,59.57920409,312.281257,0.83978075,793.5366,0.468611607,2,972,WT,M
p30nmj23-1.tif,370.860098,242.7120723,174.4702652,2.357706287,5.728372888,410.5221776,397.8880931,141.7035445,130.8840666,645.7838832,0.616131965,16.0879788,381.8001143,0.959566574,779.8979,0.510179721,2,972,WT,M
p30nmj51-1.tif,444.0726801,234.8274529,186.2847871,0.76034607,6.407531501,349.9449568,301.0498682,44.22827749,123.9496081,554.7668561,0.542660155,39.74183711,261.3080311,0.86798919,623.8328,0.482581019,4,972,WT,M
p30nmj55-1.tif,243.4397189,226.8673424,127.8532757,2.779419038,5.323837692,167.6250001,298.9277313,36.75315876,94.01306974,381.8504416,0.782839821,25.05463644,273.8730948,0.916184971,390.5487,0.765404497,7,972,WT,M
p30nmj55-2.tif,281.3374109,303.9269155,185.2773473,2.503747936,5.83948458,257.039463,337.8223912,40.71588358,106.8817097,467.0630468,0.723290771,83.40920814,254.413183,0.753097455,519.1686,0.650698812,4,972,WT,M
p30nmj59-1.tif,566.4033272,395.858223,330.989784,1.268160092,7.044478606,350.8731746,401.3103534,44.01745317,118.619243,739.3676056,0.542775137,66.65858579,334.6517676,0.833897667,786.4069,0.51030879,6,972,WT,M
p30nmj64-1.tif,220.8239695,141.9147619,109.1698458,1.679536088,5.284945819,256.304546,173.6126096,33.5620344,87.76842944,297.5940563,0.583387356,61.10580062,112.506809,0.648033626,337.8727,0.5138403,2,972,WT,M
p30nmj64-2.tif,358.5752855,182.5792673,166.7770882,0.981041695,6.137789443,318.9118976,288.0737977,31.76259152,94.91051455,517.298138,0.556881567,16.85966496,271.2141328,0.941474493,534.3591,0.53910151,5,972,WT,M
