Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
3monthNMJ_09.tif,382.1392415,295.4886951,159.9081801,2.317509857,5.515183668,412.9056326,435.0967865,45.04849427,142.6812956,737.1280382,0.590259445,14.10843605,420.9883504,0.967574028,855.590271,0.508534051,8,525,HOM,M
3monthNMJ_01.tif,244.7279613,184.7517316,155.6036644,2.729888849,5.691717897,195.088269,219.7376333,25.17417067,77.51401863,321.4827756,0.683512928,35.80791528,183.929718,0.837042409,354.7575378,0.619402296,4,525,HOM,M
3monthNMJ_151.tif,282.55294,167.6488177,117.0461937,1.064056306,5.481187298,227.6978071,232.2523697,158.8284056,112.8872961,444.3821841,0.522641047,13.4457925,218.8065772,0.942106974,582.5894775,0.398655277,4,525,HOM,M
3monthNMJ_152.tif,312.1368084,321.5582666,175.660876,2.042568325,5.763052094,276.5698469,343.4087279,33.92495837,107.5286624,665.3192861,0.51615628,53.40571483,290.0030131,0.844483525,728.8659668,0.47115484,4,528,HOM,M
3monthNMJ_149.tif,300.6875115,216.5670098,131.9746206,2.128622913,5.211298492,258.7048313,262.0629415,38.9523551,133.9328838,516.5600034,0.507323331,22.28663174,239.7763097,0.91495695,749.3995361,0.349697229,6,528,HOM,M
3monthNMJ_27.tif,189.1509289,169.2676811,84.16702034,3.11729705,4.484904986,184.9525955,193.2906066,31.89080808,106.3966306,364.3868484,0.530454399,19.80381541,173.4867912,0.897543829,507.2745972,0.381037426,5,528,HOM,M
3monthNMJ_159.tif,274.0054545,204.7987959,130.7840098,2.254896721,5.376358696,257.8397388,323.5881367,118.596781,109.6546538,613.9266656,0.527079462,1.50143285,322.0867039,0.99536005,676.9029541,0.47804214,4,528,HOM,M
3monthNMJ_93.tif,244.6209332,244.5070814,106.4222825,5.321114126,4.306699513,244.8637998,275.3577519,38.71909243,156.154677,460.1849745,0.598363196,22.27824385,253.0795081,0.919093457,786.3901367,0.350154127,9,528,HOM,M
3monthNMJ_144.tif,262.2755467,143.1393943,128.4027884,1.088159224,5.809458082,176.6800579,201.2003898,112.7137376,89.40552912,357.3242425,0.563075117,17.68167848,183.5187113,0.912119065,396.2272949,0.507790332,5,528,HOM,M
3monthNMJ_182.tif,395.1158347,283.4352929,210.0054164,1.438393263,6.283989401,266.0824284,303.0881262,33.62695135,102.1890924,529.3850919,0.572528639,73.20114234,229.8869839,0.758482316,581.4319458,0.521278764,8,528,HOM,M
3monthNMJ_73-top NMJ.tif,421.88166,208.8249845,199.3815052,1.557668009,6.157248929,274.3810011,303.0042473,32.07125475,94.12194805,516.4341851,0.586723838,56.59311417,246.4111331,0.813226664,572.2220459,0.529522149,6,528,HOM,M
3monthNMJ_121.tif,264.6415172,237.4948028,126.2047378,2.294631596,5.237986386,200.9237021,254.7570867,28.81086414,90.1696398,427.7573801,0.595564445,56.61827785,198.1388088,0.777755828,460.4198303,0.553314757,6,528,HOM,M
3monthNMJ_129.tif,348.368749,309.689398,173.3712399,3.041600701,5.450610114,305.0838837,349.1208831,36.27731575,113.9917134,674.6633989,0.517474171,48.24716062,300.8737225,0.861803854,738.0758667,0.473014901,10,528,HOM,M
3monthNMJ_41.tif,332.7976447,315.4518805,163.4800123,3.205490437,5.417410892,338.4781755,402.2581853,48.64773453,158.4714648,786.222376,0.51163411,21.84207341,380.4161119,0.945701358,964.6748047,0.416988381,6,528,HOM,M
3monthNMJ_23.tif,518.5080337,361.0316912,224.3843306,1.68710023,6.177274703,443.8882009,493.9462439,77.82941343,161.0580795,1168.710297,0.422642159,31.38749566,462.5587482,0.936455645,1320.740845,0.373991798,9,528,HOM,M
3monthNMJ_20.tif,361.2348845,232.6466007,166.8686736,2.112261691,5.716379049,354.4499363,396.4118239,48.13884468,182.9696849,736.4570067,0.538268793,16.22218509,380.1896388,0.959077444,1038.026978,0.381889712,6,528,HOM,M
3monthNMJ_19.tif,195.7711158,196.8386854,81.05311534,1.397467506,4.374628242,199.6713538,216.8941376,30.92619442,120.6325434,372.5147167,0.582243138,17.96686684,198.9272708,0.917162967,494.6676025,0.438464408,3,528,HOM,M
3monthNMJ_113.tif,267.9233421,321.7428003,125.1057125,3.791082197,4.818823968,284.1319233,369.2098869,46.45269186,142.3448017,546.7983578,0.67522128,37.04093555,332.1689513,0.899675126,834.7295532,0.442310789,9,528,HOM,M
3monthNMJ_28.tif,532.0213928,370.4261313,224.6590869,1.497727246,6.020096259,460.1913346,513.1712947,52.72402902,190.9923845,1227.14036,0.418184677,17.37132643,495.7999682,0.966149068,1591.426514,0.322459938,8,528,HOM,M
