Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area (um2),Manual Compactness,Fragmentation,Animal,Genotype,Gender
MAX_062620_animal99_40x_01-1.tif,373.8641996,338.6360168,203.50285,1.816989733,6.065017938,297.4862964,417.104756,47.2922423,201.2328526,645.5574101,0.646115666,21.86723709,395.2375189,0.947573753,1181.510254,0.353026776,5,99,WT,M
MAX_062620_animal99_40x_01-2.tif,291.0048357,239.5078972,146.2619494,1.700720342,5.584214338,259.5333756,274.1834469,44.52908256,116.4065955,509.2960881,0.538357653,18.77210457,255.4113423,0.931534508,583.4953613,0.469898246,3,99,WT,M
MAX_062620_animal99_40x_01-3.tif,202.7284507,156.0735253,103.8578902,1.622779534,5.303201257,243.7470191,234.0138272,30.19209601,94.93589549,385.3985204,0.6071996,19.67799701,214.3358302,0.915910965,466.5346069,0.501600147,3,99,WT,M
MAX_062620_animal99_40x_01-4.tif,290.8959574,203.0876657,154.8709808,1.447392344,5.949813087,255.6699567,290.1959346,32.80152741,108.4683184,516.912295,0.561402655,21.72464291,268.4712917,0.925138018,640.4156494,0.453136857,9,99,WT,M
MAX_062620_animal99_40x_02-1.tif,304.5464634,189.4070122,148.8263417,2.400424867,5.487776489,242.0886222,286.4633223,40.61212818,111.3561871,426.2559472,0.672045338,11.06363089,275.3996914,0.961378543,523.7064819,0.546992127,2,99,WT,M
MAX_062620_animal99_40x_02-2.tif,426.8281989,363.1118886,207.7157803,2.257780221,5.956302055,415.9744387,416.5343792,41.01197687,124.5895895,788.1935309,0.528467138,33.60189942,382.9324798,0.919329829,884.0252075,0.471179301,12,99,WT,M
MAX_062620_animal99_40x_03-1.tif,372.468004,267.271823,186.5595435,2.096174646,5.927436896,350.277638,293.4001098,48.2741291,147.9449937,602.3597611,0.487084511,42.20787765,251.1922321,0.856142257,911.4033203,0.321921265,10,99,WT,M
MAX_062620_animal99_40x_03-2.tif,285.534436,179.9203052,101.751425,1.496344486,5.100120801,282.78306,244.8425971,29.30734114,96.24951882,411.6442376,0.594791752,14.10843605,230.7341611,0.942377527,509.5393372,0.480517556,14,99,WT,M
MAX_062620_animal99_40x_03-3.tif,291.1429077,208.3468746,143.2396298,1.935670673,5.74661079,305.6915127,266.2233364,37.88859921,116.5760947,607.6357458,0.438129814,29.9028386,236.3204978,0.887677621,729.2685547,0.36505528,6,99,WT,M
MAX_062620_animal99_40x_03-4.tif,340.5336872,249.2043015,155.5120789,1.993744602,5.651590692,370.0807363,337.0003777,44.09142293,128.1403161,679.1509217,0.496208379,20.39096792,316.6094098,0.939492745,784.2008667,0.429737319,6,99,WT,M
MAX_062620_animal99_40x_04-1.tif,164.4406153,165.2163287,73.63469462,1.712434759,4.628950214,161.5098811,192.3343868,31.76642047,110.6165322,273.2523908,0.703870829,14.19231498,178.1420719,0.926210205,493.9630127,0.389370017,5,99,WT,M
MAX_062620_animal99_40x_04-2.tif,157.119172,120.6933926,88.19677975,2.845057411,4.843013846,135.8852924,169.4186631,27.77455909,75.68230981,237.2767176,0.714013009,11.32365557,158.0950076,0.933161699,275.4164734,0.615136273,1,99,WT,M
MAX_062620_animal99_40x_04-3.tif,153.5608199,124.8537875,61.27066007,2.55294417,4.07701983,158.880401,185.7834424,24.41331862,73.12712226,322.9087174,0.575343533,6.25736819,179.5260742,0.966319021,327.9833984,0.566441604,2,99,WT,M
MAX_062620_animal99_40x_04-4.tif,275.6990914,219.7711849,108.2539913,2.165079827,4.951423965,279.6475869,286.9665958,32.06196876,106.5575791,522.397977,0.549325626,15.7356873,271.2309085,0.945165439,663.9436646,0.432215278,5,99,WT,M
MAX_062620_animal99_40x_05-1.tif,417.6849058,328.1763142,206.5251696,1.665525561,6.110825209,417.1776044,360.5116418,42.48152947,140.2886359,768.6413522,0.469024521,41.97301665,318.5386251,0.883573755,924.1361084,0.39010665,8,99,WT,M
MAX_062620_animal99_40x_05-2.tif,395.128198,297.6443836,190.406132,1.962949814,5.999168005,387.3937349,385.1636594,49.00035077,167.4300077,749.5001804,0.513894018,35.71564846,349.4480109,0.9072715,1094.519409,0.351902082,10,99,WT,M
MAX_062620_animal99_40x_05-3.tif,486.7851563,356.7035384,228.3225046,1.607904962,6.29843921,450.6439554,521.4082056,40.03708649,132.7662663,1052.630246,0.495338423,16.51576135,504.8924443,0.9683247,1171.721558,0.444993268,7,99,WT,M
MAX_062620_animal100_40x_01-1.tif,371.794362,354.8078745,174.1955089,1.612921379,5.751002518,328.3647243,380.5754819,45.34987004,154.3874017,679.8722805,0.559774965,25.67534052,354.9001414,0.932535484,909.4656982,0.418460512,7,100,WT,M
MAX_062620_animal100_40x_01-2.tif,563.7900233,435.1555017,289.9595064,2.086039615,6.590329278,502.1385039,551.8310936,46.65359132,191.7679334,1048.738264,0.526185715,38.81916887,513.0119247,0.929653894,1450.006714,0.380571406,8,100,WT,M
MAX_062620_animal100_40x_01-3.tif,237.6817369,199.5983022,117.0461937,1.85787609,5.323456048,242.4533847,217.1373865,29.80033196,96.32315722,425.0732543,0.510823451,26.22055357,190.9168329,0.879244408,514.3959351,0.422121117,6,100,WT,M
